idgrupo,Descripcion,Cuatrimestre
GYPrJpFAG9oBy5nyK,"Bachillerato Fisico-Matematico, Quimico-Biologico",6
2ov5vgi7oij6DA8Lt,ING. SISTEMAS COMPUTACIONALES,6
ufDrnc68HomK3quPY,LICENCIATURA EN EDUCACIoN,3
znsFTtQ9Zh685GN4x,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,5
BFicuTh9GTahaK8Sh,Bachillerato Semiescolariado (Matutino),2
Px6yxoh2wBDBEobXE,Nvo. Bach. Gral. Aduanas EA-HCS,6
cDjJHHiLoZowgnnyw,Bach.Gral. Aduanas EA-HCS - PRESENCIAL,5
XWigmMiKJPTtAaNmm,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,3
HbJTubfamSdsAWosM,BACH. CONTA. E.A. - H.C.S.,5
jrcRzjJFf87g69FK6,Bachillerato General con Formacion para el Trabajo en Administracion,6
pJGgbYFEefdKX7SKv,ING GESTIoN EMPRESARIAL,5
CyCWuMAYSFpSpe89v,ING GESTIoN EMPRESARIAL,5
Yt7ik48KEych8wCav,INGENIERiA EN AGRONEGOCIOS,2
uE6dsazNDP6KGHct4,INGENIERIA EN GESTIO EMPRESARIAL,5
sneCEDBPwxWBjAi2w,Nvo. Bach. Gral. Aduanas EA-HCS,6
SJqFk5ky6E9wqndAb,BACHILLERATO,4
vnENsBbzy3kveAo4T,"Bachillerato Fisico-Matematico, Quimico-Biologico",2
TqsZcNs2LWhpgbLnn,Bachillerato Humanidades,2
Qhx2yWqEFLBF9GXCE,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,1
26L3wgnZuJ48psjgS,Licenciatura en Gastronomia,3
pX4amHZuWpo2mbFm7,Licenciatura en Psicologia Organizacional Semi-Escolarizada,5
rn8EBpX3LGRdPHbXd,MAESTRiA EN DIRECCIoN DE EMPRESAS,1
X9SsG7L4q6PrjyrBP,Nvo. Bach. Gral. Aduanas EA-HCS,5
infsR4iJCQiTs9Lz8,Nvo. Bach. Gral. Conta. FM-QB,3
mLrBW9AziFye6Pwzg,PREPARATORIA ICEP,3
6W7AmGfT6NKmkxLCA,Bachillerato Economico Administrativo- Historico Social,1
6nQCQEvdrrw3ARxJw,Bachillerato Economico Administrativo- Historico Social,3
qR67XLK22tPjiaNxh,Bachillerato Federal,1
pabXSwuQMxzyYha99,Bachillerato General con Formacion para el Trabajo en Administracion,1
AFiYxw3ajcMdjJ2pL,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
5LvKbeevzFTgCSAfi,Bachillerato General con Formacion para el Trabajo en Informatica,5
JT3TzZu9S29bep9cC,Diplomado de Titulacion,6
YFbYxwPgbALiWdhq5,Diplomado de Titulacion,2
PySAkm99DbvDBQxg9,Disenador Analista En Sistemas Computacionales,6
4sfmz9XjbqzMppJ85,ING EN SISTEMAS COMPUTACIONALES_Mixto,2
hgNS2dwTofAxAz9x7,ING GESTIoN EMPRESARIAL,3
fbwo2yEB85qNQQtuf,Ing. en Gestion Empresarial - Presencial,3
LzCYY9Pbe6xGoR465,LIC. PSICOLOGiA ORGANIZACIONAL,2
r5cg62zPZbwF2cPjK,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,6
TPuxgcCxzyhhWuXCC,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,2
pbi7yj8wy9YRbfdZm,Licenciatura en derecho,6
TARYxdZnLCWoTptNu,LICENCIATURA EN DERECHO 2018,5
s5HALjR9aC4E39Dv3,Licenciatura en Gastronomia,1
dBrpP8AzcKkoutAZN,LICENCIATURA EN GASTRONOMIA,2
C7GYzar8neCKhnWFr,Licenciaturas en Administracion de Empresas,5
kGFnB9iKMfgZjpC3i,Maestria en Direccion de Empresas,1
SDCnaLMh3ydwhfTbZ,MAESTRiA en Direccion de Empresas,4
R8JCowukkf393K8Nr,Nvo. Bach. Gral. Aduanas EA-HCS,6
5A4bbEpn2CmrKxi9x,BACH. CONTA. F.M. - H.C.S.,3
79LeradtG95h5DEZw,BACH. CONTA. F.M. - H.C.S.,1
B69j68Hqhb6uc6ixg,BACHILLERATO CON GASTRONOMIA,5
Qu9bSvmmCYodxMgJD,Bachillerato con Gastronomia,1
TCYtqgkanLN94GFYJ,Bachillerato Economico Administrativo- Historico Social,3
j3iTcuWTa5bdTFfck,Bachillerato General con Formacion para el Trabajo en Administracion,1
7rLCTx9CZHmRzx6cj,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
wjAMBAzwFLvNGFDpB,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
YpKBuK5xgT8dNuDGG,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
TPJMCHnB4GkGLy5Sm,Bachillerato General con Formacion para el Trabajo en Informatica,6
Kp9TfyAFyXB75WdSX,Bachillerato General con Formacion para el Trabajo en Informatica,2
LGYhSg24WpNZBmBav,Bachillerato General en formacion para el trabajo en Informatica,5
Miat2ZtwbjtDqhFAD,Bachillerato Jalisco 2019,3
gpBzWy3gjyizyFAfm,Bachillerato Semiescolarizado (Vespertino),6
abDBYYAqBg54Fo6TY,Carrera Tecnica Gastronomia Internacional (Domingos),5
R95E4cxSnmMraLFWC,Disenador Analista En Sistemas Computacionales,4
ggfLPHceib2nXspch,ING GESTIoN EMPRESARIAL,3
Fsm7m2sX9Lsxgp3aA,ING. EN GESTIoN EMPRESARIAL,3
mTqyKLSWdbdaBHbL5,INGENIERiA EN AGRONEGOCIOS,5
jNMmwJuE85EimqYfd,Ingenieria en Gestio Empresarial,5
2n999zayb6KG5TYnE,INGENIERIA EN GESTIO EMPRESARIAL,6
2JJZRJKXRr6aetFav,INGENIERIA EN GESTIO EMPRESARIAL,3
86mdPqBdm4NQDXBfw,LIC EN DERECHO,4
5ykbXFdxwHq2rqtQd,LIC. EN ADMINISTRACION,6
vs6izKbHxPy5Qfnag,LIC. PSICOLOGiA ORGANIZACIONAL,2
2BwYhMJYuxkayNQPW,LIC. PSICOLOGiA ORGANIZACIONAL,2
rS4BNn7GtMnunBJrK,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,3
B4L9GMYseG5jF7PtC,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,1
z2o99GyxfryNNSZXh,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,4
R4hbr5N2onNFSchzK,Licenciatura en Administracion de Empresas,1
PZeuixCojHnFPnaRC,Licenciatura en Comercio Exterior y Administracion de Aduanas,6
kTxpYh67YZ72YTYRN,LICENCIATURA EN GASTRONOMIA,5
MSTTgRXYrysfExT85,LICENCIATURA EN GASTRONOMIA,6
LQ8yDTxyT87JGcpYt,LICENCIATURA EN GASTRONOMIA,3
arj5p6ktm2WuWQvJF,Licenciatura en Psicologia Organizacional,3
SQQS9wczdsiaJEaMs,Nvo. Bach. Gral. Aduanas EA-HCS,6
vDKuuE6vAxDHXhf52,Nvo. Bach. Gral. Aduanas EA-HCS,2
CKNxxMvtKvztG6zyJ,Nvo. Bach. Gral. Aduanas EA-HCS,1
bEdB4mZXif9nskRcR,Nvo. Bach. Gral. Conta. EA-HCS,6
HKbpdBMbFgFRy9M2M,Nvo. Bach. Gral. Conta. EA-HCS,5
FrQ7BdaCRfm3kAD2T,Nvo. Bach. Gral. Conta. EA-HCS,5
nQZAnKJm2yXqwdqeo,Nvo. Bach. Gral. Conta. EA-HCS,3
J37CYhgHvJHdSxTWX,Nvo. Bach. Gral. Conta. EA-HCS,3
M4dDsz7vLyjAojuDh,Nvo. Bach. Gral. Conta. EA-HCS,1
QFzsGDiPf7BM27pk3,Nvo. Bach. Gral. Conta. EA-HCS,5
S44hXaxfH8HNJcuEy,Seminario de Tesis,2
p4ZQDNNZAzxABCFuN,TeCNICA EN NUTRICIoN Y DIETeTICA,3
x5q5ZMjHA5RbxfRcs,BACH. CONTA. E.A. - H.C.S.,2
TJ4RZGPcx49Jpi4yP,BACH. CONTA. E.A. - H.C.S.,1
GZcin5dXzsRYpT4Z7,BACH. CONTA. E.A. - H.C.S.,2
mtKxcFhABr3Sjeykv,BACH. CONTA. F.M. - H.C.S.,3
waXKnG3nNwqpu4TDN,Bachillearto 2009,4
rjrrhKmGuQN6m2b7S,BACHILLERATO,6
noWJp4ftsGBDABJT2,Bachillerato Economico Administrativo- Historico Social,6
F75KjBjvmKpGJ9K3q,Bachillerato Economico Administrativo- Historico Social,2
eokaTWwXkvcHLWHo8,Bachillerato Federal,3
jQzZb9Gx94a8KWnET,Bachillerato Federal,4
4JAb2WjjhX7FNxm7G,Bachillerato Federal,6
cHaQmSjMBswitj9Sw,Bachillerato Federal,1
p7YZBMgrQHoiXa4Mf,Bachillerato Federal (MATUTINO),5
AyXnwNAr67vAShrSq,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
mQdzcsEKeJmpeMGSu,Bachillerato General con Formacion para el Trabajo en Administracion,4
3rF6ntu4A7Eeb6iDt,Bachillerato General con Formacion para el Trabajo en Administracion,2
sPvgLjX3aeBDRCWmp,Bachillerato General con Formacion para el Trabajo en Administracion,5
AZuYmPEnLz56XtFud,Bachillerato General con Formacion para el Trabajo en Administracion,2
RMxeqeyF2JsqJ3vkz,Bachillerato General con Formacion para el Trabajo en Administracion,3
hNYoceMnd7GQydAZZ,Bachillerato General con Formacion para el Trabajo en Administracion,4
bZrdTeJtq4fTraR78,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
Wz6L4ehhtfpEZG2P6,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,2
TXQ3hoRtdXGj4th8s,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
anvnyRAB6eCiNzw6c,Bachillerato General con Formacion para el Trabajo en Informatica,5
Z85C9cxvuZ4bMjsEi,Bachillerato General con Formacion para el Trabajo en Informatica,1
QRkAy66JB8ZRsQRmD,Bachillerato General con Formacion para el Trabajo en Informatica,2
8iEFsQBMJi7SzYvoT,Bachillerato General en formacion para el trabajo en Informatica,6
G93k7cB8JPcBRSbSd,Bachillerato Humanidades,1
tpGMtiMxgwPnWW3Kw,Bachillerato Jalisco 2019,4
yshRjzwDhkYBDDmC8,Bachillerato Jalisco 2019,3
acaSERvjfcsRmfsHo,Bachillerato Jalisco 2019,2
HamC9vQH4tuZ39Shh,Bachillerato Jalisco 2019,3
ppY9CKqBfX4Z7NHXt,Carrera Tecnica en Disenador de Sistemas Computacionales,5
SEdaMc7N3nBXyQ65B,CECAP INGLES,4
