_id,nombreseccion,Plantel,Nivel educativo
23YAZQS2hb5pbd7Tt,Icep Bachillerato Colima,Colima Preparatoria,Preparatoria
29TPS7NsEFNPmfTbA,Icep Bachillerato Zihuatanejo,Zihuatanejo,Preparatoria
2SQ2Hzx7hWP4SwCmW,Icep Bachillerato Bahia de Banderas,Bahia de Banderas,Preparatoria
2TXL8dFM3iX6HCYLt,Icep Bachillerato Manzanillo,Manzanillo,Preparatoria
6p2kBnEeqShts7Esk,Icep Licenciatura Uruapan,Uruapan Universidad,Licenciaturas
79eqEtBLkg9kagGXR,Icep Bachillerato Lazaro Cardenas,Lazaro Cardenas Preparatoria,Preparatoria
7kk6Ci8aQjc5S7xoY,Icep Bachillerato Los Reyes,Los Reyes,Preparatoria
7py8rj2n6DPu35bii,Icep Bachillerato La Piedad,La Piedad,Preparatoria
88dh3srBpAnwJz7sN,Icep Bachillerato Zamora,Zamora,Preparatoria
8dnmXLYhAx4Zyuggt,Casserole Lazaro Cardenas,Lazaro Cardenas Universidad,Tecnico
8R2sA2uXdfckXk8JF,Icep Bachillerato Patzcuaro,Patzcuaro,Preparatoria
DxJ6Kw2M3zzeho8w7,Icep Bachillerato Uruapan,Uruapan Preparatoria,Preparatoria
EyrJpetZtGG3YPiPR,Icep Licenciatura Lazaro Cardenas,Lazaro Cardenas Universidad,Licenciaturas
faRzc8jvc4SQG3j9W,Icep Licenciatura Patzcuaro,Patzcuaro,Licenciaturas
fQ9ayvho9pKiitcWb,Icep Licenciatura Durango,Durango Universidad,Licenciaturas
FxpncGZZAyhYaFyQi,Icep Licenciatura La Piedad,La Piedad,Licenciaturas
HAYDQuEjQAzFebZg5,Icep Licenciatura Zamora,Zamora,Licenciaturas
hT67A5NbgPsqSSfKG,Icep Bachillerato Puerto Vallarta,Puerto Vallarta,Preparatoria
i9AeBfLv2QRqzERSq,Casserole Licenciaturas Lazaro Cardenas,Lazaro Cardenas Universidad,Licenciaturas
JBTHApbYQfgajSw7W,Icep Licenciatura Colima,Colima Universidad,Licenciaturas
jdnAzTpP8SzYnNBHH,Casserole Licenciaturas Uruapan,Uruapan Universidad,Licenciaturas
JSJffZt4r9rpKLrAA,Icep Bachillerato Tecoman,Tecoman,Preparatoria
kBeNbJjLpn2vXJ5t9,Icep Licenciatura Tecoman,Tecoman,Licenciaturas
kckh4KeYWoqfhHgu5,Icep Licenciatura Manzanillo,Manzanillo,Licenciaturas
KfWH5YeL8L8hEDfnw,Casserole Durango,Durango Universidad,Tecnico
kwi5i2orGcnqPW8BZ,Casserole Licenciatura Durango,Durango Universidad,Licenciaturas
mqfMcbFwyeAmyfMMe,Icep Bachillerato Laguna,Laguna,Preparatoria
N8dB3YuZWg8AN6WH3,Casserole Laguna,Laguna,Tecnico
o8XmCFy373WvdaPrM,Casserole licenciatura Laguna,Laguna,Licenciaturas
PoS8YCxHpLmvoBKAh,Icep Bachillerato Torreon,Torreon,Preparatoria
q5S4e6sszTZ6nJpXB,Icep Bachillerato Durango,Durango Preparatoria,Preparatoria
qj2cj83DNM6Lvayqa,Icep Bachillerato Autlan,Autlan,Preparatoria
Qxwew33BLJg6Tn8gB,Icep Licenciatura Puerto Vallarta,Puerto Vallarta,Licenciaturas
RAfgerFWNTm5ffb8e,Icep Bachillerato Villa de Alvarez,Villa de alvarez,Preparatoria
TB8EL4RAybYN3S5xw,Casserole Los Mochis,Los Mochis,Tecnico
u3yzofzdoPPPW2AQP,Casserole Licenciatura Los Mochis,Los Mochis,Licenciaturas
uAbykMSykHJoXfd2W,Icep Bachillerato Los Mochis,Los Mochis,Preparatoria
v4RP42keNS5efggfR,Casserole Culiacan,Culiacan Casserole,Tecnico
WFau3nfbTR8atXFKt,Casserole Licenciatura Culiacan,Culiacan Casserole,Licenciaturas
wWiiyuAkn8x4qBSw8,Icep Bachillerato Culiacan,Culiacan,Preparatoria
XSNb7JJuLXJGPRk4z,Icep Virtual,Virtual,Preparatoria
YBcmzwazW2M4QPwMg,Icep Licenciatura Bahia de Banderas,Bahia de Banderas,Licenciaturas
z4Z9ZHQexbkPM69n2,Casserole Colima,Colima Casserole,Tecnico
ZzsB6WtBYXZfJDCQ4,Casserole Licenciatura Colima,Colima Casserole,Licenciaturas
